id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250121149,18,9,7,2,21
250004721,18,9,3,6,4
250117410,18,7,4,3,15
250134856,18,7,4,3,10
250198240,18,7,3,4,6
250118391,18,7,2,5,12
250023097,18,6,2,4,9
250110894,18,5,4,1,1
250064027,18,5,3,2,2
250127439,18,3,2,1,12
250125538,18,3,2,1,1
250181712,18,1,1,0,7
250055660,18,1,0,1,12
250040471,18,1,0,1,12
250101727,17,13,5,8,2
250017824,17,9,2,7,6
250086316,17,7,5,2,5
250130786,17,6,4,2,25
250163786,17,6,4,2,13
250085751,17,5,1,4,14
250032786,17,4,2,2,5
250171067,17,4,2,2,5
250129341,17,4,0,4,11
250172787,17,2,0,2,2
250064444,17,1,0,1,18
250153849,16,11,2,9,4
250134536,16,9,3,6,7
250138928,16,8,4,4,0
250172672,16,8,3,5,5
250145629,16,6,4,2,4
250137390,16,5,3,2,8
250113993,16,5,2,3,9
250110734,16,5,1,4,2
250132322,16,4,4,0,7
250051754,16,2,2,0,11
250061721,16,2,1,1,18
250136464,16,1,1,0,7
250126449,16,0,0,0,2
250189506,15,10,5,5,11
250103562,15,7,3,4,6
250168990,15,6,3,3,6
250115192,15,5,2,3,12
250101284,15,5,2,3,4
250027780,15,4,3,1,11
250164835,15,4,2,2,1
250079003,15,3,1,2,5
50327428,15,1,1,0,16
250189363,15,1,0,1,8
250029535,15,1,0,1,4
250066747,14,9,6,3,3
250157930,14,9,5,4,0
250112974,14,8,3,5,11
250086037,14,7,3,4,1
250132399,14,6,4,2,1
250079541,14,5,4,1,6
250081921,14,3,2,1,9
250110361,14,3,1,2,3
250122983,14,3,0,3,10
250106709,14,1,1,0,12
250130406,14,1,1,0,1
250139207,14,0,0,0,0
250113103,13,9,7,2,3
250128270,13,8,4,4,4
250107477,13,7,5,2,21
250164991,13,6,1,5,4
250103243,13,5,3,2,16
250024349,13,5,3,2,1
250104075,13,4,2,2,6
250105244,13,4,2,2,2
250041626,13,3,1,2,1
250145803,13,3,1,2,0
250171283,13,2,0,2,4
250119677,12,12,2,10,9
250161141,12,10,1,9,6
250076631,12,6,2,4,5
250188246,12,5,5,0,4
250056159,12,5,3,2,5
250130414,12,5,3,2,3
250128255,12,5,2,3,4
250132810,12,4,3,1,2
250122187,12,4,2,2,9
250106969,12,4,2,2,2
250066739,12,4,2,2,1
250064188,12,3,2,1,6
250064232,12,3,1,2,2
250022829,12,3,1,2,2
250127284,12,3,1,2,1
250083732,12,2,1,1,4
250094540,12,2,0,2,6
250061027,12,2,0,2,3
250078593,12,1,1,0,0
250155799,12,1,0,1,8
250091828,12,1,0,1,2
250118964,11,8,3,5,2
250055957,11,6,4,2,4
250156457,11,6,1,5,5
250200228,11,6,1,5,1
250068733,11,5,4,1,3
250065413,11,5,4,1,1
250122213,11,5,2,3,8
250186923,11,5,2,3,5
250196712,11,5,2,3,1
250043066,11,5,1,4,17
250106722,11,4,4,0,3
250112978,11,4,3,1,6
250112224,11,4,1,3,3
250065301,11,3,2,1,4
250128398,11,3,2,1,2
250086789,11,3,1,2,2
250112969,11,3,1,2,1
250026229,11,2,2,0,4
250143693,11,2,1,1,1
250058220,11,2,1,1,1
250042422,11,2,0,2,12
250119181,11,1,1,0,0
250116951,11,1,0,1,15
250101238,11,1,0,1,9
250127538,11,1,0,1,6
250163623,11,1,0,1,4
250113211,11,1,0,1,2
250135416,11,1,0,1,1
250064233,11,1,0,1,1
250092517,10,6,0,6,3
250039931,10,5,3,2,6
250132886,10,5,2,3,4
250064446,10,5,2,3,1
98023,10,4,2,2,3
250024448,10,3,2,1,3
250121965,10,3,1,2,7
250112217,10,3,0,3,0
250176453,10,2,2,0,7
250172673,10,2,2,0,0
250101728,10,2,1,1,0
250041781,10,2,0,2,5
250112803,10,2,0,2,2
250139445,10,2,0,2,1
250121294,10,2,0,2,1
250089719,10,1,1,0,6
250146674,10,1,0,1,4
250172668,10,1,0,1,1
250114167,10,0,0,0,2
250024370,10,0,0,0,1
250169705,9,8,2,6,4
250189047,9,7,4,3,13
250161140,9,6,2,4,1
250144858,9,6,0,6,0
250194564,9,5,4,1,3
250081553,9,5,2,3,2
250106967,9,5,2,3,1
250171184,9,5,2,3,0
250042779,9,5,1,4,4
250013058,9,4,3,1,4
250029318,9,4,3,1,2
250197801,9,4,1,3,3
250106148,9,4,1,3,1
250064252,9,4,0,4,1
250096716,9,3,1,2,3
250160436,9,3,0,3,2
250066886,9,3,0,3,0
250105717,9,2,2,0,3
250054969,9,2,1,1,7
250130234,9,2,1,1,5
250058722,9,2,1,1,1
250102901,9,2,1,1,0
250188474,9,2,0,2,1
250124460,9,1,0,1,1
250197796,9,0,0,0,6
250113947,9,0,0,0,0
250086263,8,8,5,3,7
250193541,8,8,3,5,9
250046522,8,7,2,5,1
250187184,8,7,1,6,1
250189052,8,6,0,6,4
250091199,8,5,1,4,7
250113237,8,4,3,1,3
250040521,8,4,3,1,2
250145845,8,4,3,1,1
250163777,8,4,2,2,0
250128468,8,4,1,3,12
250101723,8,3,2,1,2
250173502,8,3,2,1,1
250167977,8,3,2,1,0
250112690,8,3,1,2,8
250129746,8,3,1,2,2
250005335,8,2,2,0,1
250193519,8,2,2,0,1
250169265,8,2,1,1,8
250118504,8,2,0,2,0
250198501,8,1,1,0,2
250200313,8,1,0,1,1
250156002,8,1,0,1,1
250014636,8,1,0,1,1
250019346,8,0,0,0,5
250200231,8,0,0,0,2
250121132,7,13,3,10,3
250067295,7,12,5,7,0
1906768,7,7,1,6,2
250156235,7,7,1,6,0
250117415,7,6,4,2,5
250169706,7,6,2,4,3
250024456,7,6,1,5,4
250041770,7,6,1,5,0
250186123,7,5,3,2,5
250081207,7,5,2,3,0
250116067,7,5,1,4,2
250096849,7,5,1,4,0
250135101,7,4,1,3,2
74699,7,4,1,3,1
250124430,7,4,1,3,0
250097909,7,3,3,0,7
250188223,7,3,3,0,6
250143328,7,3,3,0,1
250101097,7,3,2,1,2
250042631,7,3,1,2,1
250019498,7,3,1,2,0
250058227,7,3,0,3,0
250174063,7,2,1,1,4
250191448,7,2,1,1,3
250112842,7,2,1,1,3
250174830,7,2,0,2,5
250140940,7,2,0,2,0
250153402,7,1,0,1,1
250102308,7,1,0,1,1
250127239,7,1,0,1,1
250066156,7,1,0,1,0
1905643,7,0,0,0,4
250146610,7,0,0,0,2
250097638,7,0,0,0,2
250124169,6,9,4,5,4
102153,6,9,3,6,1
250154416,6,6,0,6,4
250049573,6,4,4,0,4
250113392,6,4,3,1,3
250134320,6,4,0,4,0
250121330,6,3,2,1,7
250134138,6,3,2,1,2
250101534,6,2,2,0,1
250139036,6,2,1,1,3
250101444,6,2,1,1,2
250042632,6,2,1,1,1
250099671,6,2,0,2,2
250124222,6,2,0,2,0
250090809,6,1,1,0,9
250027008,6,1,1,0,1
250138382,6,1,0,1,3
250153349,6,1,0,1,1
250159544,6,1,0,1,1
250172340,6,1,0,1,1
250174822,6,1,0,1,0
250171055,6,1,0,1,0
250091198,6,0,0,0,5
250107509,6,0,0,0,4
250138653,6,0,0,0,3
250177497,6,0,0,0,1
250144965,6,0,0,0,0
250198114,6,0,0,0,0
250128377,5,19,10,9,1
250112400,5,8,2,6,1
250132811,5,7,2,5,0
250080572,5,6,3,3,2
250177886,5,6,2,4,3
250147342,5,5,3,2,0
50327423,5,5,1,4,0
250121533,5,5,0,5,0
250005343,5,4,2,2,4
250121584,5,4,2,2,0
250041771,5,4,2,2,0
250082664,5,4,2,2,0
250116904,5,4,1,3,3
250079279,5,4,1,3,2
250128385,5,3,2,1,2
250102417,5,3,2,1,2
250163400,5,3,2,1,0
250112122,5,3,1,2,3
250134728,5,3,0,3,2
250023551,5,3,0,3,0
250091187,5,2,2,0,5
250091165,5,2,2,0,1
250154302,5,2,1,1,3
250104066,5,2,1,1,1
250200298,5,2,1,1,0
250142271,5,2,0,2,13
250086315,5,2,0,2,1
250106649,5,2,0,2,0
250092194,5,2,0,2,0
250187238,5,1,1,0,0
250127347,5,1,1,0,0
250089688,5,1,0,1,6
250169685,5,1,0,1,4
250064482,5,1,0,1,2
250099258,5,1,0,1,1
1905153,5,1,0,1,0
250167111,5,0,0,0,2
250023009,5,0,0,0,2
250192048,5,0,0,0,1
250171045,4,6,2,4,2
250078012,4,5,2,3,1
250132730,4,5,2,3,0
250091172,4,5,2,3,0
250178782,4,4,3,1,4
250071671,4,4,2,2,1
250105681,4,4,2,2,1
103806,4,4,1,3,4
250106939,4,4,0,4,2
250061361,4,4,0,4,1
250066157,4,3,2,1,5
250176450,4,3,2,1,2
250194573,4,3,2,1,0
250180309,4,3,1,2,1
250166930,4,3,1,2,0
250087938,4,3,0,3,2
250142158,4,3,0,3,1
250128451,4,2,2,0,2
250013022,4,2,2,0,1
250099180,4,2,1,1,1
250056566,4,2,1,1,1
250177722,4,2,1,1,1
250132195,4,2,1,1,0
250067334,4,2,1,1,0
250118281,4,2,0,2,2
250074010,4,2,0,2,0
250105686,4,2,0,2,0
250079670,4,2,0,2,0
250056982,4,2,0,2,0
1906511,4,1,1,0,7
250134304,4,1,1,0,2
250058215,4,1,0,1,4
250088150,4,1,0,1,2
250132829,4,1,0,1,2
250194557,4,1,0,1,2
250187143,4,1,0,1,1
250115436,4,1,0,1,1
250129175,4,1,0,1,0
250082469,4,1,0,1,0
250166916,4,1,0,1,0
250052957,4,0,0,0,6
250080553,4,0,0,0,5
250182606,4,0,0,0,2
250164781,4,0,0,0,1
250143669,4,0,0,0,1
250112513,4,0,0,0,1
250187759,3,5,1,4,3
250127540,3,4,2,2,1
250132309,3,4,1,3,5
250166754,3,4,1,3,1
250117405,3,4,1,3,1
250171301,3,4,0,4,1
250096954,3,4,0,4,1
250117511,3,3,1,2,3
250117705,3,3,1,2,1
250187837,3,3,1,2,1
250081223,3,3,1,2,0
250019616,3,3,1,2,0
250121329,3,2,2,0,4
250091175,3,2,1,1,3
250196543,3,2,1,1,1
250117806,3,2,1,1,1
250016833,3,2,1,1,1
250138985,3,2,1,1,1
250058218,3,2,1,1,1
250146926,3,2,1,1,0
250098471,3,2,0,2,1
250054949,3,2,0,2,0
250061589,3,2,0,2,0
250171667,3,2,0,2,0
250073778,3,1,1,0,6
250113276,3,1,1,0,5
250014114,3,1,1,0,2
250112880,3,1,1,0,0
250117471,3,1,1,0,0
250112117,3,1,1,0,0
250127111,3,1,0,1,5
250089289,3,1,0,1,2
250064274,3,1,0,1,2
250196663,3,1,0,1,2
250199902,3,1,0,1,2
250124849,3,1,0,1,1
250193534,3,1,0,1,0
250139101,3,1,0,1,0
250187067,3,1,0,1,0
250024795,3,1,0,1,0
250198120,3,1,0,1,0
250129343,3,1,0,1,0
250183092,3,0,0,0,4
250173126,3,0,0,0,2
250081555,3,0,0,0,2
250056685,3,0,0,0,2
250174851,3,0,0,0,1
250052469,3,0,0,0,0
250106935,3,0,0,0,0
250098468,3,0,0,0,0
250127024,3,0,0,0,0
250005231,2,6,1,5,1
250183519,2,5,1,4,0
250089228,2,4,1,3,0
250101472,2,3,2,1,1
250194673,2,3,2,1,0
1902685,2,3,1,2,0
250163447,2,3,0,3,1
250176491,2,2,2,0,2
250058270,2,2,1,1,1
250162177,2,2,1,1,0
250068805,2,2,1,1,0
250175393,2,2,1,1,0
250121536,2,2,1,1,0
250089626,2,2,1,1,0
250165236,2,2,0,2,1
250193518,2,2,0,2,0
250113142,2,2,0,2,0
250135615,2,2,0,2,0
250022869,2,1,1,0,3
250168465,2,1,1,0,1
250128222,2,1,1,0,1
250080570,2,1,1,0,1
250020850,2,1,1,0,1
250096698,2,1,1,0,0
250104939,2,1,1,0,0
1903428,2,1,1,0,0
250156459,2,1,0,1,5
250108215,2,1,0,1,3
250121972,2,1,0,1,3
250115948,2,1,0,1,3
250097337,2,1,0,1,1
250002096,2,1,0,1,1
250115134,2,1,0,1,1
107044,2,1,0,1,1
250187671,2,1,0,1,1
250063984,2,1,0,1,0
250010223,2,1,0,1,0
250197264,2,1,0,1,0
250177423,2,1,0,1,0
250067749,2,1,0,1,0
250136445,2,1,0,1,0
250153851,2,0,0,0,8
250123428,2,0,0,0,2
250101313,2,0,0,0,2
250153634,2,0,0,0,1
250138626,2,0,0,0,1
250198119,2,0,0,0,0
250161881,2,0,0,0,0
250121552,2,0,0,0,0
250099459,2,0,0,0,0
250163731,2,0,0,0,0
250135607,2,0,0,0,0
250126267,2,0,0,0,0
250110159,2,0,0,0,0
250057117,2,0,0,0,0
250042329,2,0,0,0,0
250198122,2,0,0,0,0
250197800,2,0,0,0,0
250177879,2,0,0,0,0
250164004,2,0,0,0,0
250117406,1,4,2,2,2
250115487,1,4,2,2,1
108908,1,4,1,3,2
250132407,1,4,0,4,0
250164785,1,3,1,2,6
250015966,1,3,1,2,0
250077453,1,3,0,3,0
250169763,1,3,0,3,0
250132465,1,2,1,1,1
250104089,1,2,1,1,0
250174849,1,2,1,1,0
250112186,1,2,0,2,5
250105927,1,2,0,2,5
250058044,1,2,0,2,4
250063394,1,2,0,2,3
250162865,1,2,0,2,1
250197958,1,2,0,2,0
250088104,1,1,1,0,2
250144297,1,1,1,0,1
250137525,1,1,1,0,1
250076574,1,1,1,0,0
250163186,1,1,0,1,1
250141610,1,1,0,1,1
250181428,1,1,0,1,1
250088320,1,1,0,1,1
250003318,1,1,0,1,0
250139255,1,1,0,1,0
250089276,1,1,0,1,0
250086709,1,1,0,1,0
250063957,1,1,0,1,0
250008901,1,1,0,1,0
250123978,1,0,0,0,6
250055149,1,0,0,0,3
250105167,1,0,0,0,2
250181460,1,0,0,0,2
250096737,1,0,0,0,2
250107324,1,0,0,0,1
250193531,1,0,0,0,1
250196665,1,0,0,0,1
250087967,1,0,0,0,1
250187320,1,0,0,0,1
250104128,1,0,0,0,1
250050416,1,0,0,0,1
250055110,1,0,0,0,0
250122746,1,0,0,0,0
250081720,1,0,0,0,0
250080471,1,0,0,0,0
250176187,1,0,0,0,0
250140936,1,0,0,0,0
250133903,1,0,0,0,0
250097935,1,0,0,0,0
250087431,1,0,0,0,0
250054393,1,0,0,0,0
250052849,1,0,0,0,0
250113373,0,3,1,2,0
250172227,0,3,0,3,0
250041564,0,2,1,1,2
250059115,0,2,0,2,1
250129735,0,2,0,2,1
250123910,0,2,0,2,0
250099399,0,2,0,2,0
250055109,0,1,1,0,1
250090955,0,1,1,0,1
250056189,0,1,1,0,1
250198274,0,1,1,0,0
250154458,0,1,1,0,0
250137395,0,1,1,0,0
250067629,0,1,0,1,4
250141861,0,1,0,1,3
250102035,0,1,0,1,2
250004986,0,1,0,1,2
250079383,0,1,0,1,1
250118797,0,1,0,1,1
250052744,0,1,0,1,1
250183510,0,1,0,1,1
250077644,0,1,0,1,1
250103758,0,1,0,1,0
250188225,0,1,0,1,0
250133390,0,1,0,1,0
250091841,0,1,0,1,0
250193506,0,1,0,1,0
250185976,0,1,0,1,0
250134190,0,1,0,1,0
250166680,0,1,0,1,0
250144964,0,1,0,1,0
250138999,0,1,0,1,0
250088039,0,1,0,1,0
250135068,0,0,0,0,8
250069832,0,0,0,0,7
97746,0,0,0,0,5
250040573,0,0,0,0,5
98078,0,0,0,0,4
250121017,0,0,0,0,4
250063980,0,0,0,0,4
250138250,0,0,0,0,4
250077750,0,0,0,0,4
250105818,0,0,0,0,3
250105612,0,0,0,0,3
250087102,0,0,0,0,3
250085475,0,0,0,0,3
250006714,0,0,0,0,3
250066131,0,0,0,0,3
250064273,0,0,0,0,3
1907188,0,0,0,0,3
250007631,0,0,0,0,3
250124006,0,0,0,0,2
250123304,0,0,0,0,2
250051291,0,0,0,0,2
250012069,0,0,0,0,2
250138982,0,0,0,0,2
250164780,0,0,0,0,2
250087877,0,0,0,0,2
250073809,0,0,0,0,2
250177333,0,0,0,0,2
74954,0,0,0,0,1
250157134,0,0,0,0,1
250128409,0,0,0,0,1
250113444,0,0,0,0,1
250089209,0,0,0,0,1
250042780,0,0,0,0,1
102420,0,0,0,0,1
250081721,0,0,0,0,1
250196664,0,0,0,0,1
250130771,0,0,0,0,1
250099867,0,0,0,0,1
250079112,0,0,0,0,1
250007075,0,0,0,0,1
250200307,0,0,0,0,1
250199913,0,0,0,0,1
250123020,0,0,0,0,1
250116699,0,0,0,0,1
250105890,0,0,0,0,1
250090101,0,0,0,0,1
250081931,0,0,0,0,1
250063617,0,0,0,0,1
97923,0,0,0,0,0
250171278,0,0,0,0,0
250187899,0,0,0,0,0
250187620,0,0,0,0,0
250153701,0,0,0,0,0
250101696,0,0,0,0,0
250101201,0,0,0,0,0
250101144,0,0,0,0,0
250078922,0,0,0,0,0
250181082,0,0,0,0,0
250161761,0,0,0,0,0
250161142,0,0,0,0,0
250118912,0,0,0,0,0
250089824,0,0,0,0,0
250080461,0,0,0,0,0
250042521,0,0,0,0,0
250029862,0,0,0,0,0
250028705,0,0,0,0,0
250011668,0,0,0,0,0
250006998,0,0,0,0,0
1909868,0,0,0,0,0
1906553,0,0,0,0,0
250193442,0,0,0,0,0
250190378,0,0,0,0,0
250189107,0,0,0,0,0
250187793,0,0,0,0,0
250186116,0,0,0,0,0
250182794,0,0,0,0,0
250180810,0,0,0,0,0
250178067,0,0,0,0,0
250177597,0,0,0,0,0
250174737,0,0,0,0,0
250174602,0,0,0,0,0
250172594,0,0,0,0,0
250170137,0,0,0,0,0
250170117,0,0,0,0,0
250168996,0,0,0,0,0
250165221,0,0,0,0,0
250159294,0,0,0,0,0
250154309,0,0,0,0,0
250144288,0,0,0,0,0
250138623,0,0,0,0,0
250134952,0,0,0,0,0
250128391,0,0,0,0,0
250117491,0,0,0,0,0
250116759,0,0,0,0,0
250107089,0,0,0,0,0
250103561,0,0,0,0,0
250090719,0,0,0,0,0
250090398,0,0,0,0,0
250081341,0,0,0,0,0
250056861,0,0,0,0,0
250055899,0,0,0,0,0
250055216,0,0,0,0,0
250029377,0,0,0,0,0
250010259,0,0,0,0,0
1902445,0,0,0,0,0
93443,,,,,
69178,,,,,
250204164,,,,,
250202692,,,,,
250201731,,,,,
250201718,,,,,
250200248,,,,,
250199905,,,,,
250199900,,,,,
250199899,,,,,
250199543,,,,,
250199225,,,,,
250198502,,,,,
250198498,,,,,
250197866,,,,,
250196593,,,,,
250196587,,,,,
250196584,,,,,
250196581,,,,,
250196544,,,,,
250196542,,,,,
250195173,,,,,
250194271,,,,,
250193410,,,,,
250192873,,,,,
250192699,,,,,
250192639,,,,,
250192405,,,,,
250192269,,,,,
250190780,,,,,
250190776,,,,,
250190774,,,,,
250190375,,,,,
250190232,,,,,
250190117,,,,,
250189610,,,,,
250189230,,,,,
250189174,,,,,
250189136,,,,,
250188470,,,,,
250188129,,,,,
250187771,,,,,
250185049,,,,,
250184504,,,,,
250183894,,,,,
250183341,,,,,
250182971,,,,,
250180112,,,,,
250180111,,,,,
250180059,,,,,
250179734,,,,,
250179137,,,,,
250179078,,,,,
250178085,,,,,
250178076,,,,,
250177933,,,,,
250177819,,,,,
250177612,,,,,
250177593,,,,,
250177433,,,,,
250177426,,,,,
250177381,,,,,
250177259,,,,,
250176532,,,,,
250176488,,,,,
250176477,,,,,
250176229,,,,,
250176213,,,,,
250176212,,,,,
250176188,,,,,
250176181,,,,,
250174995,,,,,
250174331,,,,,
250173127,,,,,
250172534,,,,,
250171662,,,,,
250171659,,,,,
250171100,,,,,
250170952,,,,,
250170141,,,,,
250170133,,,,,
250169918,,,,,
250169894,,,,,
250169891,,,,,
250169577,,,,,
250169576,,,,,
250168729,,,,,
250168060,,,,,
250166787,,,,,
250165547,,,,,
250164989,,,,,
250164860,,,,,
250164853,,,,,
250164740,,,,,
250164626,,,,,
250164169,,,,,
250164068,,,,,
250164054,,,,,
250163658,,,,,
250163505,,,,,
250163224,,,,,
250162627,,,,,
250162176,,,,,
250160990,,,,,
250160835,,,,,
250154332,,,,,
250154301,,,,,
250153773,,,,,
250153677,,,,,
250153412,,,,,
250153408,,,,,
250150470,,,,,
250148144,,,,,
250139387,,,,,
250139028,,,,,
250138956,,,,,
250138950,,,,,
250138635,,,,,
250138286,,,,,
250138239,,,,,
250137521,,,,,
250135608,,,,,
250135499,,,,,
250135497,,,,,
250129928,,,,,
250129831,,,,,
250128898,,,,,
250127502,,,,,
250127149,,,,,
250127130,,,,,
250124400,,,,,
250123440,,,,,
250119144,,,,,
250118962,,,,,
250118787,,,,,
250117408,,,,,
250116069,,,,,
250113263,,,,,
250112488,,,,,
250109859,,,,,
250109381,,,,,
250109378,,,,,
250108031,,,,,
250106979,,,,,
250106880,,,,,
250105664,,,,,
250104101,,,,,
250103498,,,,,
250101698,,,,,
250096761,,,,,
250088389,,,,,
250088122,,,,,
250088117,,,,,
250087542,,,,,
250086637,,,,,
250082738,,,,,
250082625,,,,,
250081634,,,,,
250079522,,,,,
250074072,,,,,
250070418,,,,,
250069830,,,,,
250067821,,,,,
250066521,,,,,
250065307,,,,,
250064310,,,,,
250061507,,,,,
250058260,,,,,
250058121,,,,,
250056735,,,,,
250042778,,,,,
250041563,,,,,
250040599,,,,,
250022366,,,,,
250017814,,,,,
250015753,,,,,
250011071,,,,,
250000104,,,,,
108501,,,,,
103827,,,,,
101585,,,,,
