id_player,distance_covered(km/h),top_speed,minutes_played,matches_appareance
250128451,31.02,32.94,251,3
250086263,26.44,32.88,251,3
250171184,32.84,31.29,250,4
250172673,31.33,34.14,249,4
250189052,27.91,31.37,249,3
250145845,30.18,34.06,248,4
250101444,34.78,31.82,248,4
250024370,32.36,31.46,247,4
250159544,31.41,33.04,247,3
250187238,29.03,33.81,246,4
250029535,35.25,28.82,246,4
250024349,32.38,30.78,245,4
250089225,34.38,30.41,245,3
250153402,29.83,33.46,244,4
250156459,26.41,34.05,244,4
250068733,28.46,30.28,244,3
50327428,27.22,32.03,244,3
250127538,30.95,35.53,243,3
250171067,30.05,34.01,243,3
250116904,32.97,32.85,242,4
250161140,29.04,32.36,241,4
250056566,29.57,32.94,239,4
250101201,14.22,24.91,239,3
250091828,29.77,35.03,238,4
250174063,29.73,34.08,234,4
250124169,28.44,31.92,234,3
250188223,27.41,35.13,234,3
250187221,27.29,32.86,233,4
250144858,29.09,28.05,233,3
250124430,28.78,31.82,232,4
250172907,28.78,33.84,231,3
250156457,30.91,31.04,230,4
250132730,28.89,34.08,229,4
250183519,26.51,30.97,228,4
250113103,30.56,32.85,227,4
250097638,28.05,29.83,227,4
250059115,29.05,27.46,226,3
250058227,29.64,33.44,225,4
250147342,27.63,34.15,225,3
250040521,28.29,32.39,225,3
250193541,26.26,32.23,225,3
250156002,27.17,31.67,225,3
250079279,28.89,31.12,224,4
250132831,27.08,33.76,224,4
250022829,28.71,31.44,223,3
250117405,27.81,33.37,223,3
250086789,28.94,32.81,222,4
250112400,26.61,34.14,222,4
250135101,27.75,29.03,220,3
250106967,25.55,32.93,220,3
250112224,28.61,34.3,218,4
250005335,28.24,27.85,218,4
250163400,30.33,32.3,218,4
250141861,24.28,32.28,218,3
250189047,26.88,33.58,217,4
250164835,30.32,32.18,217,3
250177722,25.74,31.4,215,3
250169685,21.71,32.19,212,3
250132811,29.25,33.21,211,4
250145629,25.58,33.76,211,3
250105244,26.73,32.22,210,4
250121584,25.69,31.17,209,4
250113373,25.26,33.15,209,3
250066739,30.04,30.9,208,3
250161141,27.67,30.92,206,4
250191448,30.23,30.72,206,3
250086315,24.56,33.23,204,4
250167977,23.99,32.05,203,4
250112842,26.01,30.63,203,3
250187184,23.4,33.84,201,4
250113237,26.6,30.72,201,3
250143328,25.23,31.27,200,3
250101728,21.2,32.44,200,3
250134320,26.8,31.85,198,4
250058722,23.2,30.6,198,3
250117705,24.2,33.09,196,4
250129175,26.86,32.0,196,4
250091187,22.7,31.92,196,3
250079541,21.25,30.29,196,3
250063394,21.56,29.98,193,3
250136464,21.89,31.05,193,3
250127540,23.86,31.01,192,4
250096716,22.72,32.52,192,4
250103562,23.86,31.77,191,3
250156235,23.9,30.01,190,4
250101097,23.54,33.68,190,4
250106722,23.15,32.31,190,3
74699,22.34,29.47,187,4
250049573,24.17,29.45,187,4
250088150,23.97,31.33,187,4
250106649,23.27,33.78,187,4
250121330,21.33,31.71,187,3
250104939,23.32,29.78,186,3
250088104,21.15,34.64,184,3
250128468,21.1,31.57,184,3
250066747,25.59,29.07,183,3
250089289,25.63,29.74,182,4
250187143,24.59,35.11,182,4
250128398,23.97,31.01,182,3
250065413,22.86,32.26,182,3
250091165,23.53,32.16,181,4
250091172,22.8,31.55,180,3
250110894,23.55,32.25,180,2
250172787,21.69,30.3,180,2
250181712,19.42,30.48,180,2
250110361,22.81,33.32,180,2
250024448,21.44,32.24,180,2
250026229,20.91,30.19,180,2
250169265,20.43,29.37,180,2
250041781,20.05,30.68,180,2
250122187,19.47,32.32,180,2
250052744,13.25,21.44,180,2
250138250,11.88,24.82,180,2
250087877,11.59,28.32,180,2
250099867,11.11,29.22,180,2
250077750,10.81,25.4,180,2
250028705,10.6,25.31,180,2
250090955,10.49,22.82,180,2
250089824,10.07,25.69,180,2
250079112,9.42,21.15,180,2
250011668,9.41,25.7,180,2
250073809,9.31,27.32,180,2
250080461,8.77,19.51,180,2
250091198,22.42,32.7,179,3
250113392,22.38,32.52,179,3
250101723,21.34,31.96,179,3
250155799,21.22,30.89,179,3
250146610,25.32,31.75,178,4
250091199,21.52,30.2,178,3
98023,24.9,31.41,177,4
250132829,20.61,33.12,176,3
250181460,20.77,31.91,175,3
250079383,22.0,32.27,174,4
250200231,20.45,32.94,173,4
250115436,24.23,30.67,172,4
250089719,21.48,33.49,172,2
250042631,22.38,31.68,170,4
250196543,21.48,32.56,170,4
250102308,23.45,31.21,168,4
250013058,20.55,32.75,168,2
250144965,22.67,34.31,167,4
250082469,20.77,30.83,167,4
250132886,20.96,33.76,167,3
250066156,21.13,30.41,166,2
250163777,24.16,30.51,166,2
250067295,22.37,30.13,165,3
250187837,20.34,35.62,165,3
250192048,19.35,32.25,165,3
103806,20.21,33.07,165,2
250074010,19.26,29.28,164,3
250064482,19.6,35.17,164,2
250064233,19.06,31.37,164,2
250090809,21.52,32.04,163,3
250132810,19.47,33.22,161,2
250005231,21.8,30.23,160,4
250094540,16.2,31.88,159,2
250164785,21.18,33.3,158,3
250194564,18.2,32.86,158,2
250029318,22.01,32.23,157,3
250101238,19.37,32.75,156,3
250138928,21.02,29.08,155,4
250042632,16.75,31.15,149,2
250081555,17.62,31.75,146,3
250115134,19.66,31.68,145,3
250173502,19.91,30.93,143,4
250118281,16.53,30.66,142,4
250113947,20.69,28.79,142,3
250019616,21.44,28.23,140,4
250144297,18.16,32.86,139,4
250166754,19.76,29.37,139,3
102153,14.68,32.43,139,2
250166930,19.12,30.85,138,3
250138653,17.59,34.09,138,3
250198501,17.73,33.48,137,4
250061361,17.17,32.65,137,3
250186923,15.94,32.03,137,2
250058220,16.89,32.25,135,3
250127347,16.8,35.14,135,2
250128409,17.82,33.45,132,4
250124222,17.37,34.09,132,3
250193519,15.98,34.46,132,3
250114167,17.35,31.37,131,3
250128270,16.26,34.9,131,3
250154416,17.1,30.75,128,3
250080570,16.14,31.18,128,3
250102901,14.99,34.74,125,3
1903428,14.4,33.16,125,2
250124849,17.47,31.38,124,3
250200298,17.78,29.01,123,4
250055957,16.61,32.19,123,3
250079670,14.71,33.04,123,2
250198114,15.73,29.05,123,2
250019346,15.06,31.66,123,2
250115487,14.17,31.67,121,3
250197796,14.1,29.62,120,2
1906768,16.45,29.33,120,2
250007075,7.84,25.03,120,2
250116067,18.53,30.38,119,2
250128385,14.71,32.34,118,4
250163447,15.3,33.7,118,3
250105167,14.82,33.01,117,4
250166916,15.17,34.53,117,3
250058270,14.58,31.43,117,2
250132309,14.03,35.05,117,2
250039931,12.59,32.72,117,2
250080572,16.69,29.17,116,3
250188246,14.78,33.26,116,2
250052957,12.48,31.78,116,2
250168465,17.41,30.9,114,4
250113142,13.17,33.17,114,3
50327423,14.87,31.07,112,3
250063984,13.86,33.83,110,4
250183092,13.87,32.41,110,4
250057117,15.31,31.11,108,2
250068805,13.91,32.62,107,3
250010223,14.19,29.21,107,3
250127239,13.4,29.52,107,3
250014636,15.4,28.77,106,2
250153851,12.3,34.42,106,2
250132195,13.29,33.18,105,3
250023551,12.49,31.68,105,2
250058218,13.78,25.3,104,2
250174830,13.73,30.53,104,2
250117511,12.8,33.93,104,2
250117406,14.54,30.9,103,4
250146926,13.53,30.91,103,4
250153634,15.18,33.49,103,3
250071671,14.76,32.03,103,3
250067629,12.74,33.26,103,3
250154302,11.3,31.05,103,2
250162177,14.71,32.85,102,4
250162865,14.37,33.85,102,4
250042329,12.79,29.5,102,2
250055110,13.81,32.95,101,3
250197801,12.9,33.98,101,2
250088320,11.99,32.03,101,2
250132465,14.6,31.13,100,3
250133390,10.01,31.84,99,3
250104089,13.54,30.34,98,3
250171045,12.57,33.51,98,2
250099459,13.55,31.4,97,3
250066157,12.41,32.24,97,3
250123978,10.99,32.81,97,2
250098468,12.98,29.38,97,2
250080471,12.54,31.8,97,2
250067334,11.21,30.79,96,2
250132322,11.15,31.5,96,2
250106935,13.67,30.44,94,3
250054949,12.5,33.39,94,3
250164780,12.65,31.81,93,2
250092194,11.58,33.78,92,2
250101313,13.03,32.54,92,2
250134728,11.67,32.73,92,2
250089209,12.9,32.88,91,4
250115948,11.33,33.27,91,2
250198119,11.71,32.82,90,3
250188225,10.38,32.07,90,3
1906511,10.91,32.09,90,3
250139036,13.12,29.7,90,1
250129343,12.45,31.14,90,1
250082664,12.0,31.66,90,1
250054969,11.6,27.72,90,1
250052849,11.02,31.85,90,1
250107509,11.0,30.51,90,1
250042779,10.96,29.63,90,1
250102417,10.62,30.78,90,1
250186123,10.43,29.03,90,1
250073778,10.42,28.15,90,1
250177879,10.38,30.19,90,1
250112513,10.37,29.63,90,1
108908,9.93,28.06,90,1
250182606,9.49,33.16,90,1
250055149,9.42,29.06,90,1
250174737,6.82,21.91,90,1
250029377,6.21,22.01,90,1
250090101,6.02,23.96,90,1
250081931,5.53,24.46,90,1
250117491,5.44,22.15,90,1
250007631,5.11,24.12,90,1
250193518,12.74,31.92,89,4
250089688,9.16,31.36,89,1
250056982,11.71,28.83,88,2
250141610,11.88,33.41,86,3
250121552,11.39,30.8,86,3
250064273,10.79,30.28,85,3
1905643,10.42,31.62,85,1
250063617,9.39,32.29,84,1
250107324,12.06,31.28,83,4
250003318,11.27,31.73,83,3
250061589,11.8,31.62,83,2
250137525,9.7,33.33,81,2
250172340,9.89,32.6,80,2
250193531,11.49,31.13,79,3
250199902,10.31,30.69,79,1
250097337,10.83,31.33,78,4
250101472,10.85,33.92,78,3
250178782,9.89,30.32,78,2
250144288,9.84,32.22,78,1
250091175,10.8,33.27,77,3
1902685,10.91,28.97,76,3
250077453,10.33,33.51,74,3
250174849,9.91,28.03,74,2
250027008,8.31,30.81,74,1
250121329,8.92,32.09,73,1
250142158,9.94,30.87,72,3
250063957,9.53,28.86,72,2
250123910,10.66,33.25,71,4
250174851,9.03,31.15,70,3
250187671,10.4,31.58,70,2
250112117,9.82,30.16,70,2
250193506,9.66,34.11,70,2
250058044,8.66,32.23,70,2
250153701,9.71,35.87,69,3
250056685,8.43,33.0,68,1
250194573,8.66,33.29,67,2
250117806,11.19,31.11,66,4
250015966,8.92,30.54,66,3
250177423,9.3,30.88,66,2
250118797,7.78,32.86,66,2
250055899,3.92,22.91,66,1
250105686,8.78,33.5,65,2
250163731,7.63,32.15,65,2
250197958,8.82,31.83,65,1
250090719,8.35,30.87,65,1
250117415,8.71,31.66,64,2
250138985,8.19,31.95,63,2
250105890,8.06,27.82,62,1
250022869,10.77,31.54,58,4
250020850,8.31,27.61,56,3
250014114,6.46,30.65,56,1
250197264,7.9,33.63,52,2
250135615,6.85,31.1,51,2
250008901,7.16,32.25,51,2
250196663,6.94,33.06,51,2
250187067,6.31,30.54,50,2
250101696,7.5,31.17,49,3
250176491,7.47,31.53,49,1
250129735,7.17,31.67,48,2
250056189,7.46,31.64,47,2
250081720,6.17,28.64,47,2
250089276,5.62,29.07,46,2
250128222,6.95,32.06,45,3
250136445,6.36,29.58,45,1
250180309,6,30.82,45,1
250194557,5.91,30.8,45,1
250088039,5.71,27.89,45,1
250105681,5.64,31.37,45,1
250165236,5.39,31.86,45,1
1902445,2.79,22.43,45,1
250121972,6.95,28.3,44,2
250181428,6.21,32.87,44,2
250041771,7.06,29.99,43,3
250130771,6.28,31.34,43,2
250172227,5.37,31.5,42,1
250122746,5.99,30.65,41,2
250006998,6.38,30.97,40,2
250185976,5.47,33.16,40,2
250143669,5.01,28.01,40,2
250161881,7.1,30.76,39,3
250024795,5.36,34.09,39,2
250177333,3.14,23.15,39,1
250123428,6.29,32.8,38,3
107044,5.52,28.25,38,3
250087967,4.65,32.45,36,2
250117471,6.06,30.01,35,3
250067749,5.31,24.46,35,2
250164781,4.69,32.14,35,2
250196664,6.08,30.84,34,2
250196665,5.11,29.82,34,2
250091841,6.67,32.1,33,3
250041564,5.43,26.0,33,2
250193534,5.4,32.82,32,3
250055109,6.24,29.7,31,3
250121536,5.01,32.0,31,2
250198274,5.36,33.36,29,3
250134190,4.71,30.93,29,2
250099399,3.61,28.66,29,1
1909868,4.13,33.07,28,2
250139255,5.05,27.86,28,2
250086709,4.18,28.02,28,2
250176187,4.33,30.49,28,1
250138626,3.53,29.81,28,1
250175393,4.75,31.66,27,2
250171667,3.52,31.23,27,1
250077644,3.43,31.98,27,1
250058215,4.6,32.24,26,2
250144964,3.44,29.29,26,1
250164004,3.02,33.4,26,1
250029862,3.72,29.8,24,2
250166680,3.41,32.47,22,1
250050416,2.99,27.09,22,1
250187620,3.82,30.82,21,3
250055216,1.25,32.06,21,1
250163186,5.07,31.14,20,3
250110159,3.28,29.46,20,2
250138982,4.68,30.18,19,3
250181082,2.86,25.66,19,2
250127024,2.43,30.15,19,1
250198120,2.14,33.0,19,1
250161142,3.54,28.97,18,2
250096737,2.97,31.12,17,2
250118912,2.85,28.44,16,2
250174602,2.47,30.75,16,1
250187899,3.97,31.79,15,3
250135607,2.56,30.87,15,2
250182794,2.61,30.22,15,1
250187320,2.48,31.81,15,1
250200307,2.45,28.44,15,1
250139101,3.28,32.35,14,3
250159294,2.53,33.41,14,1
250170137,2.5,32.35,14,1
250169763,3.41,27.18,13,2
250161761,2.59,33.64,12,2
250199913,1.97,28.39,12,1
250138623,1.88,27.54,12,1
250010259,1.73,28.92,12,1
250198122,1.66,27.85,12,1
250004986,1.63,26.69,12,1
250107089,2.04,27.88,11,1
250103561,1.41,28.79,11,1
250042521,2.86,29.11,10,2
250177597,2.21,28.15,10,1
250183510,1.98,30.44,10,1
250180810,1.83,27.91,10,1
250165221,1.47,34.62,10,1
250054393,0.67,20.81,10,1
1906553,2.86,29.44,9,2
250170117,2.06,24.32,9,1
250137395,1.94,29.33,9,1
250116699,1.22,26.41,9,1
250056861,1.87,25.5,8,1
250186116,1.61,29.3,8,1
250197800,1.58,29.55,8,1
250168996,1.47,26.98,8,1
250126267,1.86,28.22,7,2
250172594,1.23,25.67,7,1
250133903,1.13,28.0,7,1
250089626,2.25,27.45,6,2
250123020,1.42,30.78,6,1
250190378,1.26,33.64,6,1
250154458,1.22,29.28,5,1
250140936,1.07,22.57,4,1
250187793,0.97,28.55,4,1
250116759,1,29.19,3,1
250138999,0.89,27.47,3,1
250128391,0.73,26.8,2,1
250178067,1.12,30.11,1,1
250154309,1.02,26.67,1,1
250087431,0.98,28.29,1,1
250134952,0.9,27.86,1,1
250189107,0.78,30.61,1,1
250081341,0.77,27.91,1,1
250090398,0.73,29.62,1,1
250097935,0.71,25.88,1,1
250104128,0.4,29.33,1,1
250193442,0.33,22.44,1,1
93443,,,,
69178,,,,
250204164,,,,
250202692,,,,
250201731,,,,
250201718,,,,
250200248,,,,
250199905,,,,
250199900,,,,
250199899,,,,
250199543,,,,
250199225,,,,
250198502,,,,
250198498,,,,
250197866,,,,
250196593,,,,
250196587,,,,
250196584,,,,
250196581,,,,
250196544,,,,
250196542,,,,
250195173,,,,
250194271,,,,
250193410,,,,
250192873,,,,
250192699,,,,
250192639,,,,
250192405,,,,
250192269,,,,
250190780,,,,
250190776,,,,
250190774,,,,
250190375,,,,
250190232,,,,
250190117,,,,
250189610,,,,
250189230,,,,
250189174,,,,
250189136,,,,
250188470,,,,
250188129,,,,
250187771,,,,
250185049,,,,
250184504,,,,
250183894,,,,
250183341,,,,
250182971,,,,
250180112,,,,
250180111,,,,
250180059,,,,
250179734,,,,
250179137,,,,
250179078,,,,
250178085,,,,
250178076,,,,
250177933,,,,
250177819,,,,
250177612,,,,
250177593,,,,
250177433,,,,
250177426,,,,
250177381,,,,
250177259,,,,
250176532,,,,
250176488,,,,
250176477,,,,
250176229,,,,
250176213,,,,
250176212,,,,
250176188,,,,
250176181,,,,
250174995,,,,
250174331,,,,
250173127,,,,
250172534,,,,
250171662,,,,
250171659,,,,
250171100,,,,
250170952,,,,
250170141,,,,
250170133,,,,
250169918,,,,
250169894,,,,
250169891,,,,
250169577,,,,
250169576,,,,
250168729,,,,
250168060,,,,
250166787,,,,
250165547,,,,
250164989,,,,
250164860,,,,
250164853,,,,
250164740,,,,
250164626,,,,
250164169,,,,
250164068,,,,
250164054,,,,
250163658,,,,
250163505,,,,
250163224,,,,
250162627,,,,
250162176,,,,
250160990,,,,
250160835,,,,
250154332,,,,
250154301,,,,
250153773,,,,
250153677,,,,
250153412,,,,
250153408,,,,
250150470,,,,
250148144,,,,
250139387,,,,
250139028,,,,
250138956,,,,
250138950,,,,
250138635,,,,
250138286,,,,
250138239,,,,
250137521,,,,
250135608,,,,
250135499,,,,
250135497,,,,
250129928,,,,
250129831,,,,
250128898,,,,
250127502,,,,
250127149,,,,
250127130,,,,
250124400,,,,
250123440,,,,
250119144,,,,
250118962,,,,
250118787,,,,
250117408,,,,
250116069,,,,
250113263,,,,
250112488,,,,
250109859,,,,
250109381,,,,
250109378,,,,
250108031,,,,
250106979,,,,
250106880,,,,
250105664,,,,
250104101,,,,
250103498,,,,
250101698,,,,
250096761,,,,
250088389,,,,
250088122,,,,
250088117,,,,
250087542,,,,
250086637,,,,
250082738,,,,
250082625,,,,
250081634,,,,
250079522,,,,
250074072,,,,
250070418,,,,
250069830,,,,
250067821,,,,
250066521,,,,
250065307,,,,
250064310,,,,
250061507,,,,
250058260,,,,
250058121,,,,
250056735,,,,
250042778,,,,
250041563,,,,
250040599,,,,
250022366,,,,
250017814,,,,
250015753,,,,
250011071,,,,
250000104,,,,
108501,,,,
103827,,,,
101585,,,,
